uncodable;camera taken off
uncodable;image dark blurred obscured
sedentary;non screen sedentary;reading
sedentary;non screen sedentary;writing
sedentary;non screen sedentary;eating/drinking
sedentary;non screen sedentary;playing music
sedentary;non screen sedentary;household
sedentary;non screen sedentary;playing quietly
sedentary;non screen sedentary;handicraft
sedentary;non screen sedentary;relaxing/sitting/talking
sedentary;non screen sedentary;personal care
sedentary;screen;tv
sedentary;screen;computer
sedentary;screen;gaming conxole
sedentary;screen;mobile phone
sedentary;screen;tablet
sedentary;screen;ipod/portable music player
sedentary;screen;other screen use
location;outdoor;nature
location;outdoor;urban green space
location;outdoor;grey space street
location;outdoor;grey space playground
location;outdoor;other outdoor
location;indoor;home
location;indoor;school
location;indoor;day care
location;indoor;sport facility
location;indoor;other indoor
