participant,startTime,endTime,source,annotation
p009,24/06/2014 06:11:00,24/06/2014 06:14:59,images,home activity;miscellaneous;walking;17150 walking household without observable loads
p009,24/06/2014 06:15:00,24/06/2014 06:44:59,images,home activity;miscellaneous;sitting;9030  sitting desk work (with or without eating at the same time)
p009,24/06/2014 06:45:00,24/06/2014 06:46:59,images,home activity;miscellaneous;walking;17150 walking household without observable loads
p009,24/06/2014 06:47:00,24/06/2014 06:55:59,images,leisure;sports;gymnasium and athletics;athletics;12150 running
p009,24/06/2014 06:56:00,24/06/2014 06:58:59,images,uncodeable;0002 image dark/blurred/obscured
p009,24/06/2014 06:59:00,24/06/2014 07:19:59,images,leisure;sports;gymnasium and athletics;athletics;12150 running
p009,24/06/2014 07:20:00,24/06/2014 07:30:59,images,uncodeable;0001 camera taken off
p009,24/06/2014 07:31:00,24/06/2014 07:30:59,images,uncodeable;0002 image dark/blurred/obscured
p009,24/06/2014 07:31:00,24/06/2014 07:31:59,images,home activity;miscellaneous;standing;9071 (generic) standing miscellaneous
p009,24/06/2014 07:32:00,24/06/2014 07:33:59,images,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time)
p009,24/06/2014 07:34:00,24/06/2014 07:36:59,images,home activity;household chores;preparing meals/cooking/washing dishes;5035 kitchen activity general cooking/washing/dishes/cleaning up
p009,24/06/2014 07:37:00,24/06/2014 08:51:59,images,home activity;miscellaneous;sitting;11580 office work such as writing and typing (with or without eating at the same time)
p009,24/06/2014 08:52:00,24/06/2014 08:53:59,images,uncodeable;0002 image dark/blurred/obscured
p009,24/06/2014 08:54:00,24/06/2014 08:55:59,images,home activity;miscellaneous;walking;17150 walking household without observable loads
p009,24/06/2014 08:56:00,24/06/2014 08:58:59,images,home activity;miscellaneous;sitting;9030  sitting desk work (with or without eating at the same time)
p009,24/06/2014 08:59:00,24/06/2014 09:00:59,images,home activity;miscellaneous;standing;9071 (generic) standing miscellaneous
