participant,startTime,endTime,source,annotation
p003,14/10/2014 08:34:45,14/10/2014 08:36:24,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 08:36:49,14/10/2014 08:59:59,images,transportation;private transportation;1010 bicycling
p003,14/10/2014 09:00:22,14/10/2014 09:08:14,images,transportation;private transportation;1010 bicycling
p003,14/10/2014 09:08:39,14/10/2014 09:11:52,images,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
p003,14/10/2014 09:12:17,14/10/2014 09:40:49,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 09:41:12,14/10/2014 09:47:31,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 09:47:53,14/10/2014 09:50:57,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 09:51:19,14/10/2014 09:52:26,images,occupation;interruption;13030 eating sitting
p003,14/10/2014 09:52:49,14/10/2014 09:58:46,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 09:59:09,14/10/2014 10:00:46,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 10:01:33,14/10/2014 10:13:47,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 10:14:08,14/10/2014 10:14:13,images,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet
p003,14/10/2014 10:14:14,14/10/2014 10:14:16,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 10:14:46,14/10/2014 10:18:05,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 10:18:29,14/10/2014 10:21:59,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 10:22:22,14/10/2014 10:25:29,images,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet
p003,14/10/2014 10:25:54,14/10/2014 10:28:16,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 10:28:41,14/10/2014 10:30:10,images,occupation;interruption;9070 standing reading or without obvious activities
p003,14/10/2014 10:30:56,14/10/2014 10:32:53,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 10:33:15,14/10/2014 10:36:19,images,occupation;interruption;11585 sitting meeting/talking to colleages with or without eating
p003,14/10/2014 10:36:44,14/10/2014 10:54:59,images,occupation;interruption;11585 sitting meeting/talking to colleages with or without eating
p003,14/10/2014 10:55:21,14/10/2014 10:58:41,images,occupation;interruption;11585 sitting meeting/talking to colleages with or without eating
p003,14/10/2014 10:59:17,14/10/2014 11:07:31,images,occupation;interruption;11585 sitting meeting/talking to colleages with or without eating
p003,14/10/2014 11:07:55,14/10/2014 11:09:06,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 11:09:31,14/10/2014 11:59:34,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 12:00:07,14/10/2014 12:08:14,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 12:09:22,14/10/2014 12:12:06,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 12:12:30,14/10/2014 12:20:35,images,occupation;interruption;13030 eating sitting
p003,14/10/2014 12:20:59,14/10/2014 12:23:00,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 12:23:23,14/10/2014 12:27:38,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 12:28:01,14/10/2014 12:29:11,images,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet
p003,14/10/2014 12:29:35,14/10/2014 12:32:18,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 12:32:41,14/10/2014 12:33:51,images,occupation;interruption;9020 standing writing/drawing/painting
p003,14/10/2014 12:34:15,14/10/2014 12:35:00,images,uncodeable;0002 image dark/blurred/obscured
p003,14/10/2014 12:35:25,14/10/2014 12:44:33,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 12:44:56,14/10/2014 12:58:47,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 12:59:35,14/10/2014 13:02:00,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 13:02:24,14/10/2014 13:38:26,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 13:38:50,14/10/2014 13:40:29,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 13:40:52,14/10/2014 13:55:02,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 13:55:34,14/10/2014 14:00:12,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 14:00:35,14/10/2014 14:03:00,images,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet
p003,14/10/2014 14:03:24,14/10/2014 14:10:34,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 14:10:58,14/10/2014 14:17:59,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 14:18:24,14/10/2014 14:25:42,images,occupation;office and administrative support;11580 office wok/computer work general
p003,14/10/2014 14:26:29,14/10/2014 14:29:22,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 14:29:45,14/10/2014 14:34:55,images,occupation;interruption;9050 standing talking in persone/using a phone/smartphone/tablet
p003,14/10/2014 14:35:29,14/10/2014 14:39:35,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 14:39:59,14/10/2014 14:42:23,images,occupation;interruption;11791 walking on job in office or lab area
p003,14/10/2014 14:42:45,14/10/2014 14:59:48,images,occupation;office and administrative support;11580 office wok/computer work general
