startTime,endTime,duration,annotation
2014-10-14T07:21:47.000Z,2014-10-14T07:22:35.002Z,48.002,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-14T07:22:58.003Z,2014-10-14T07:26:59.013Z,241.01,home activity;miscellaneous;sitting;9055 sitting/lying talking in person/using a mobile phone/smartphone/tablet or talking on the phone/computer (skype chatting)
2014-10-14T07:27:23.014Z,2014-10-14T07:28:55.018Z,92.004,home activity;miscellaneous;sitting;9060 sitting/lying reading or without observable/identifiable activities
2014-10-14T07:29:19.019Z,2014-10-14T07:31:59.026Z,160.007,home activity;self care;13040 (generic) self care such as grooming/washing hands/shaving/brushing teeth/putting on make-up not eliminating and bathing (not necessary in the toilet)
2014-10-14T07:32:24.027Z,2014-10-14T07:36:42.038Z,258.011,home activity;miscellaneous;walking;17150 walking household without observable loads
2014-10-14T07:37:11.039Z,2014-10-14T07:40:23.045Z,192.006,transportation;walking;17250 walking as the single means to a destination not to work or class
2014-10-14T07:40:46.046Z,2014-10-14T07:42:18.050Z,92.004,leisure;eating;not-social;5060 buying foods or drinks as a takeaway
2014-10-14T07:42:42.051Z,2014-10-14T07:46:13.059Z,211.008,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-14T07:46:36.060Z,2014-10-14T07:53:54.078Z,438.018,transportation;waiting;7021 sitting
2014-10-14T07:54:18.079Z,2014-10-14T08:01:22.097Z,424.018,leisure;miscellaneous;sitting;5080 sitting non-desk work (with or without eating at the same time)
2014-10-14T08:01:46.098Z,2014-10-14T08:14:17.130Z,751.032,transportation;waiting;7021 sitting
2014-10-14T08:14:41.131Z,2014-10-14T08:15:51.134Z,70.003,transportation;waiting;7040 standing in a line
2014-10-14T08:16:15.135Z,2014-10-14T08:17:02.137Z,47.002,transportation;public transportation;16016 riding in a bus or train
2014-10-14T08:17:25.138Z,2014-10-14T08:22:10.147Z,285.009,uncodeable;0002 image dark/blurred/obscured
2014-10-14T08:22:36.148Z,2014-10-14T08:24:27.152Z,111.004,transportation;public transportation;16016 riding in a bus or train
2014-10-14T08:25:16.153Z,2014-10-14T08:28:29.160Z,193.007,transportation;walking;17161 walking not as the single means of transports e.g.from house to transports or vice versa/from car to places or vice versa/between transports
2014-10-14T08:29:18.161Z,2014-10-14T08:30:50.165Z,92.004,uncodeable;0002 image dark/blurred/obscured
2014-10-14T08:31:14.166Z,2014-10-14T08:32:52.169Z,98.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T08:33:41.170Z,2014-10-14T08:42:49.191Z,548.021,occupation;office and administrative support;11580 office/computer work general
2014-10-14T08:43:11.192Z,2014-10-14T08:47:29.203Z,258.011,occupation;interruption;standing;9070 standing reading or without observable/identifiable activities
2014-10-14T08:47:52.204Z,2014-10-14T08:58:10.229Z,618.025,occupation;office and administrative support;11580 office/computer work general
2014-10-14T08:58:32.230Z,2014-10-14T09:00:27.235Z,115.005,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-10-14T09:01:13.236Z,2014-10-14T09:49:20.355Z,2887.119,occupation;office and administrative support;11580 office/computer work general
2014-10-14T09:49:44.356Z,2014-10-14T11:24:55.596Z,5711.24,uncodeable;0002 image dark/blurred/obscured
2014-10-14T11:25:18.597Z,2014-10-14T11:36:05.625Z,647.028,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-10-14T11:36:29.626Z,2014-10-14T11:39:27.632Z,178.006,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T11:39:52.633Z,2014-10-14T11:43:02.640Z,190.007,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T11:43:27.641Z,2014-10-14T12:22:47.733Z,2360.092,occupation;office and administrative support;11580 office/computer work general
2014-10-14T12:23:10.734Z,2014-10-14T12:23:56.736Z,46.002,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-14T12:24:19.737Z,2014-10-14T13:05:13.836Z,2454.099,occupation;office and administrative support;11580 office/computer work general
2014-10-14T13:06:01.837Z,2014-10-14T13:07:13.840Z,72.003,occupation;interruption;miscellaneous;5041 kitchen activity in the working place
2014-10-14T13:07:39.841Z,2014-10-14T13:09:56.847Z,137.006,uncodeable;0002 image dark/blurred/obscured
2014-10-14T13:10:19.848Z,2014-10-14T13:11:07.850Z,48.002,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T13:11:53.851Z,2014-10-14T13:21:45.875Z,592.024,occupation;office and administrative support;11580 office/computer work general
2014-10-14T13:22:09.876Z,2014-10-14T13:41:00.925Z,1131.049,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-10-14T13:41:25.926Z,2014-10-14T13:42:12.928Z,47.002,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-14T13:42:36.929Z,2014-10-14T13:44:24.933Z,108.004,occupation;office and administrative support;11580 office/computer work general
2014-10-14T13:44:47.934Z,2014-10-14T13:46:42.939Z,115.005,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-14T13:47:05.940Z,2014-10-14T14:25:10.033Z,2284.093,occupation;office and administrative support;11580 office/computer work general
2014-10-14T14:25:35.034Z,2014-10-14T14:27:10.037Z,95.003,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T14:27:34.038Z,2014-10-14T14:28:44.041Z,70.003,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-14T14:29:07.042Z,2014-10-14T14:31:02.047Z,115.005,occupation;interruption;sitting;9060 sitting without observable/identifiable activities
2014-10-14T14:31:25.048Z,2014-10-14T14:52:09.099Z,1244.051,occupation;interruption;sitting;13030 eating sitting
2014-10-14T14:52:34.100Z,2014-10-14T14:57:31.112Z,297.012,occupation;interruption;walking;11791 walking on job in office or lab area
2014-10-14T14:58:18.113Z,2014-10-14T14:59:04.115Z,46.002,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-14T14:59:27.116Z,2014-10-14T15:01:02.119Z,95.003,occupation;office and administrative support;11580 office/computer work general
2014-10-14T15:01:25.120Z,2014-10-14T15:05:42.131Z,257.011,occupation;interruption;sitting;11585 sitting meeting/talking to colleagues with or without eating
2014-10-14T15:06:05.132Z,2014-10-14T15:10:24.142Z,259.01,occupation;interruption;standing;9050 standing talking in person/using a phone/smartphone/tablet
2014-10-14T15:10:50.143Z,2014-10-14T15:11:37.145Z,47.002,occupation;interruption;sitting;9055 sitting using a mobile phone/smartphone/tablet or talking on the phone/computer (skype meeting etc.)
2014-10-14T15:12:01.146Z,2014-10-14T15:13:58.151Z,117.005,occupation;office and administrative support;11580 office/computer work general
